text,date
"Cubs close out Indians to win first Series since 1908 Mike Montgomery gets Michael Martinez to ground into the final out, and the Cubs clinch their first World Series since 1908 with an 8-7 victory over the Indians in 10 innings.A HILLARY FOR PRISON SIGN POPPED UP TONIGHT DURING THE WORLD SERIES COVERAGE A COUPLE NIGHTS AGO ","August 11, 2017 "
"Wouldn t you know that the CIA director had words for Trump today Brennan has some nerve  cautioning  President-elect Trump:WASHINGTON (Reuters)   CIA Director John Brennan on Sunday had a stern parting message for Republican Donald Trump days before he assumes the U.S. presidency, cautioning him against loosening sanctions on Russia and warning him to watch what he says.","February 27, 2017 "
"Pointing to Donald Trump s recent comments on abortion and controversial appointment of an extremist right favorite to the White House, Mayor de Blasio on Monday urged all Americans to continue protesting the President-elect.De Blasio, speaking after days of roiling protests against the country s yet-to-be-sworn-in 45th president have sprung up in New York and other cities, said resistance is necessary, especially since Trump is likely to lose the popular vote   and therefore doesn t have a mandate to rule.De Blasio said,  We need to hold Trump accountable for anything he does that encourages hate and division   The more extreme he is, the more people fight back, the more it takes away his power. With Bill de Blasio making headlines for fanning the flames of racial tension between police and protesters it s worth recalling newsworthy information about the New York City mayor s dark past; that he was an active supporter of a brutal communist regime well known as one of the worst human rights abusers in Latin America.Judicial Watch uncovered and reported the scandalous details last year. De Blasio was an active supporter of the communist Sandinista regime in Nicaragua in the 1980s. He was so enamored with Soviet-backed revolutionaries that he traveled to the capital city of the war-torn country, Managua, to aid their cause by participating in a relief mission. Upon de Blasio s return to the United States, he joined the Nicaragua Solidarity Network of Greater New York (NSN).-JWThe mayor also said that Trump s comments on the campaign trail about stepping up stop and frisk wouldn t happen in New York as long as he s mayor. That s not going to happen on my watch,  the mayor said.  NYDN","July 7, 2017 "
"Tucker Carlson started out his show by showing a video of leftist Congresswoman Nancy Pelosi being verbally attacked by illegal aliens for allegedly negotiating with President Trump on the issue of the unconstitutional DACA program for  dreamers  that Barack Obama put in place.Here s a short clip of the illegal aliens attacking Nancy:After Tucker showed Nancy being shouted down by illegal aliens, he turned to his guest Ivan Ceja, who also happens to be an illegal alien that refers to himself as a  DACA recipient . Tucker told Ivan Ceja, an ILLEGAL ALIEN who is the founder of Undocumedia that he finds it  striking  how ungrateful illegal aliens are about how good they have it in America. Ceja went on to threaten to hold US representatives accountable for not representing them.Things got ugly immediately after Tucker explained to Ceja that he has no right to demand anything from US lawmakers as a non-American citizen.Watch the heated exchange here: ","September 26, 2017 "
"State police are searching for fugitive accused of running a million-dollar food stamp scam after they say he cut off his court-ordered GPS monitoring bracelet and went on the run just as his high-profile fraud and money laundering trial was set to begin.Martin B. Santiago, 49, of the Dominican Republic was slated to go to trial yesterday. But when he didn t show up to court, state police say investigators realized he had  forcibly removed  the monitoring device about 6 a.m.Santiago was set to go before a jury for his alleged involvement in a $1.5 million scheme to fraudulently sell food stamps and launder money through his three stores in Lawrence. State police say Santiago was arrested for the scam in June 2015 and had been wearing an ankle bracelet while awaiting trial after posting $75,000 cash bail.Authorities are now turning to the public for help finding Santiago, who they describe as a 5-foot, 11-inch Hispanic man weighing about 190 pounds with black hair and brown eyes. State police say Santiago   who is fluent in Spanish and has also gone by Mark Santiago and Martin Billone Santiago   has ties to the Lawrence and Methuen areas.","November 8, 2017 "
"Released from Guantanamo and then making his way back to Canada thanks to Obama, this murderer is free but SFC Speer is dead This deification of an al-Qaida-trained murderer is a slap in the face to every American soldier and every military family that has sacrificed to combat Islamic jihad. A Canadian judge ruled this week that Omar Khadr poses no public safety threat. Tell that to the children of Sergeant First Class Christopher J. Speer and the surviving American soldiers who valiantly fought Khadr on the battlefield.In 2012, Khadr pleaded guilty, guilty, guilty, guilty and guilty to five charges related to the killing of Speer, a 28-year-old medic with the U.S. Special Forces. This young American hero died in Afghanistan in 2002 during an ambush by al-Qaida operatives. Just days before he gave his life, Speer had fearlessly walked onto a minefield to rescue two wounded Afghan children. It was Khadr, born and bred an Islamic jihadist by his terrorist father, who lobbed the fatal grenade in the war zone. Another American soldier, SFC Layne Morris, survived the attack, but was blinded in one eye for life.In a sealed plea deal at Guantanamo Bay, Khadr admitted to throwing the grenade. He admitted to attempted murder, conspiracy, spying and providing material support to terrorism. He signed a 50-paragraph stipulation that classified him as an  enemy belligerent because he has purposefully and materially supported hostilities against the United States and its coalition partners  and documented his family s intimate association and friendship with al-Qaida leaders Osama bin Laden, Ayman al-Zawahiri and Muhammad Atef.Don t believe the international human rights bleeding hearts. The Khadr family is rightfully known as Canada s First Family of Terror. This so-called  child soldier  and  good kid  was a full-blown Muslim soldier of jihad; he trained one-on-one in weaponry, explosives and Jew hatred. A then-teenage Khadr bragged to a U.S. official  that the proudest moment of his life was constructing and planting IEDs  to  kill U.S. forces. Gloating over the Alberta judge s decision to let Khadr loose, his radical leftwing lawyer railed against Canadian Prime Minister Stephen Harper as a  bigot.  His fan club thinks he deserves a medal. No, really. A Toronto Sun columnist argued last week that the jihadist  deserves some kind of recognition  along the lines of the country s  Order of Canada  for  the dignity and stoicism with which he s borne the mingy behaviour of Canada s governments. Disgusting. This deification of an al-Qaida-trained murderer is a slap in the face to every American soldier and every military family that has sacrificed to combat Islamic jihad.But don t look for our government to raise its voice in protest. It is because of jihad-coddler Barack Obama, working quietly to empty Gitmo, that Khadr found his way back to Canada in the first place.","November 7, 2016 "
" In asking KT McFarland to become his Deputy National Security Advisor, President-elect Trump has brought to the top ranks of his Administration one of our country s most experienced, informed, and wise foreign policy and national security experts  former Sen. Joe Lieberman said in a release.  She is a woman of honor, compassion, and patriotism. ","April 17, 2017 "
"So much for putting a stop to the poisonous debate in Washington. The effort to try and mend fences came to a screeching halt when during President Trump s  Unity Speech  to the baseball crowd congressional staffers jeered and booed. The staffers even exhibited  vulgar gesticulations  at President Trump.The message of unity was lost on these clowns:Washington Times reported:Mr. Trump delivered a message of unity, but some fans in the stands weren t having any of it. One man shouted an expletive at the video screen as Mr. Trump was telling the fans:  We are showing the world we will not be intimidated by threats.  The episode marred what had been a night celebrating those wounded in Wednesday s murderous attack on GOP players practicing for the game. When both teams went to second base   the symbolic spot where Rep. Steve Scalise was wounded in the attack at the Alexandria practice field   to kneel and pray, some mocked the prayer, too. The fans appeared to be Democratic staffers, having booed the announcement of several members of the GOP lineup.Most fans were in the correct mood, however, chanting U-S-A and giving a loud standing ovation to Capitol Police Special Agent David Bailey (pictured below), who along with two other special agents at the field Wednesday were credited with saving the lives of dozens of lawmakers and staffers. Agent Bailey threw out the first pitch. In the wake of the attack Wednesday, leaders in both parties have pleaded for civility in the political conversation.","December 30, 2016 "
"Since Hillary s making a big announcement today we thought we d give everyone a chance to see the real Hillary. This is a side of Hillary that we ve all heard about, but is rarely captured on film.Don t look now Hillary, but your arrogance is showing.Hillary s war on women ","September 1, 2017 "
"Next time you see a Democrat lawmaker, thank them for supporting sanctuary cities and states, and making every American less safe A Mexican man who was deported from the US 20 times has been convicted of 10 counts including sexual assault in Oregon. On Friday, Sergio Jose Martinez, 31, was sentenced to 35 years in prison in a Portland courtroom after pleading guilty to kidnapping, sexual assault, sodomy and several other counts, KOIN reported.Martinez smiled throughout the trial, and as he left, he gave one grim parting shot to his two victims  relatives:  See all you guys in Hell. The first attack occurred early on the morning of July 24, when Martinez entered the Northeast Portland home of a 65-year-old woman through a window she had left open to cool the house.Wielding a metal rod, Martinez told the woman to get down on the ground, where he bound and blindfolded her, threatened to murder her, and then sexually assaulted her, KGW reported.He stole the woman s purse and car; she called the police from a neighbor s home, and they located the vehicle and put it under surveillance.While they kept an eye on the car, however, Martinez was stalking his second victim in a parking garage on the corner of Northeast 21st Avenue and Northeast Halsey Street.He approached her carrying a knife and made her get into her car; as he got in after her she attempted to escape, but he was able to grab her and start slamming her head into the ground.The woman called out for help and as passersby approached, Martinez attempted to steal her car, then fled on foot when it failed to start. Police caught him minutes later.Two relatives of one of the victims, and one of the victims herself spoke during the sentencing phase Friday, in which Martinez often grinned.A brother of one victim told Martinez:  Sergio, no sentencing is enough. I rather you rot in Hell. Deputy District Attorney Amity Girt, the prosecutor on the case, said:  We had some very powerful victim impact statements that said it all. It was really breathtaking to hear the far-reaching consequences of violent crime, the emotional injury. Under the agreement that spared Martinez a possibly longer sentence if he had been found guilty at trial, he pleaded guilty to 10 counts, including first-degree burglary, sodomy, sex abuse, kidnapping, robbery, and second-degree assault.Martinez s lawyer, Jonathan Sarre, said his client  suffers from some mental illnesses; often such people may do inappropriate things in these situations. However, he acknowledged that a doctor had declared Martinez competent to stand trial.Martinez had been freed from jail in Portland a week before the attacks; he was in there for interfering with police and providing a false birth date.He was released despite a request from US Immigration and Customs Enforcement for the Multnomah County Sheriff s Office to hold him so the agency could take him into custody.Oregon became America s first sanctuary state when it adopted a law in 1987 preventing law enforcement from detaining people who are in the United States illegally but have not broken other laws.  Daily Mail ","November 29, 2017 "
"It was only a matter of time We can t keep our borders open to anyone who cares to cross over, offer them immunity from the law in sanctuary cities that basically give criminals the ability to move around freely and expect a positive result. We asked for it when most American citizens sat back and allowed Obama to bully our border agents into submission, while shaming our government officials and law enforcement agencies for daring to demand stricter immigration controls. There s a good reason Donald J. Trump rose to the top of the packed GOP Presidential field when he mentioned building a wall on our southern border and clamping down on the insane flow of unvetted immigrants and refugees into the United States.Hillary is on the same team as Obama when it comes to unchecked illegal immigration. BRENTWOOD, N.Y.   Four dead teenagers. Two weeks. One town. And a ruthless gang, the authorities say, was most likely responsible for the toll. Again.On Sept. 13, Nisa Mickens, 15, and her best friend, Kayla Cuevas, 16, were murdered, their battered bodies found near an elementary school here. A week later and just two miles away, the skeletal remains of two more teenagers   identified as Oscar Acosta, 19, and Miguel Garcia-Moran, 15   were found in the woods near a psychiatric hospital. Oscar had been missing since May, Miguel since February. Their deaths have been ruled homicides.Brentwood, a hardscrabble town of nearly 60,000 on Long Island, 40 miles east of Manhattan, has reached another crisis point. For nearly two decades, MS-13, a gang with roots in Los Angeles and El Salvador, has been terrorizing the town, the authorities say, especially its young people. Since 2009, its members have been accused of at least 14 murders, court and police records show.School officials are scrambling. Police officers are searching. Students are frightened. Parents are anguished. It s so hard, I m hurting,  Eveylyn Rodriguez, the mother of Kayla, said last week.  I wish I could hold my daughter again. In her first interview since Kayla s funeral, Ms. Rodriguez spoke measuredly about how her daughter had been bullied by gang members inside and outside of her high school. To me, it s worse than it was before; it s everywhere,  said Ms. Rodriguez, a 1987 graduate of Brentwood Ross High School, where her daughter was a student.  This is ridiculous,  she added.  We need some type of assistance to help our police officers here and see if they can come together to figure out a plan to make things better for the kids now. The path to such a plan, however, runs through a fractured Suffolk County. Its former police chief is headed to jail, its district attorney is under federal investigation and a Justice Department settlement mandated changes in the police department in 2013 after findings of bias against Latino residents.Tensions simmer here because some residents say they believe an increase in Central American migrants to town has led to the increase in gang violence. According to 2014 census figures compiled by Queens College, Brentwood s population is 68 percent Latino or Hispanic, with more than 17,000 residents claiming to be from El Salvador.Brentwood has 4,400 high school students divided into two schools, and administrators say the environment is safe. Gang members rarely present themselves in the schools,  Richard Loeschner, the principal of Brentwood Ross High School, said.  If they do, we take care of that pretty quickly. But ultimately, he said, after acknowledging that the administration knew of about 20 to 25 students in the district with possible gang affiliations, there is only so much they can do. We can t exclude a kid because we suspect they are in a gang,  Mr. Loeschner said.  That s state and federal law that they are entitled to an education. Even before the girls  murders, students were subject to random screenings with metal detectors, which have increased over the past few weeks, he added. There are no detectors at the entrances of either high school, however.Some parents were concerned that the school s response to the violence was not proactive enough. Dr. Levi McIntyre, the school superintendent, sent an email to parents warning their children not to wear royal blue, the color identified with MS-13, or clothes displaying the Salvadoran flag. A student on the way to school, he wrote, recently had his blue shirt torn off by gang members and burned.MS-13 formed in Los Angeles in the 1980s by immigrants from El Salvador escaping civil war. The abbreviation stands for Mara Salvatrucha, which roughly translates to  Salvadoran street posse. Authorities say it has been in Suffolk County since around 1998, and is organized in cliques bearing names like the Brentwood Locos Salvatruchas. Leaders gather to discuss their lines of business   extortion, prostitution, robbery, drug dealing   and to authorize the killings of chavalas, or members of rival gangs like the Bloods and Crips, court papers say.The recent murders have exacerbated disputes in the town over immigration policy, which Donald J. Trump, the Republican candidate for president, fueled during last week s debate by saying that the gangs roaming the streets were made up of illegal immigrants. There s been a huge influx, to be honest with you,  said Ray Mayo, the president of the Brentwood Association of Concerned Citizens, who added that he was upset over undocumented immigrants crowding rental properties.  It seems like a whole new set of gang members who have stirred the pot up. Two law enforcement authorities, who spoke on the condition of anonymity because of the continuing murder investigation, said that over the last several years the gang has sought to enlist recent immigrants from Central America because they are often more vulnerable to recruitment. For entire story: NYT s ","August 5, 2016 "
"Smug liberal newspapers and tv networks have paid a heavy price  for their criticism of Trump. Americans think of Trump as the underdog in this race and there s nothing worse than piling on the underdog. For these liberal hacks who have been writing their leftist opinions as opposed to real news for decades, they re about to find out what it means to be considered irrelevant by their former readers The subscription cancellations were coming every 10 minutes. Angry readers have been calling in droves. We re feeling the weight of our history,  Phil Boas, the editorial page editor of The Arizona Republic, said in a telephone interview on Wednesday. Until it endorsed Hillary Clinton on Tuesday, the newspaper, founded in 1890, had never endorsed a Democrat over a Republican for president.In endorsing Mrs. Clinton, The Republic s editorial was, by any interpretation, scathing toward her opponent, Donald J. Trump.  Trump responds to criticism with the petulance of verbal spit wads,  the editorial says at one point.  That s beneath our national dignity. The papers lay out different reasons for supporting Mrs. Clinton over Mr. Trump   his lack of political experience versus her established political career, his outbursts and insults versus her steadiness   and some are perhaps more repudiations of Mr. Trump than glowing endorsements of Mrs. Clinton, whose faults are also cited.For some readers, however, the endorsements proved a step too far.  Certainly, we ve paid a price for our presidential recommendation,  Mike Wilson, the editor of The Dallas Morning News, told Poynter this month.Mr. Boas of The Arizona Republic said he expected  a lot of cancellations,  pointing to cancellations at The Cincinnati Enquirer, which like The Republic, is owned by Gannett.But he said financial considerations were  never a factor  for the newspaper s nine-person editorial board.  It was more of a curiosity,  he said.  We know we re doing the right thing. We feel very good about this decision.  New York TimesGood luck with that whole  feeling good  thing when your paper is shut down because you can t pay your liberal editors ","November 5, 2017 "
"Democrats are in panic mode since Hillary Clinton s been coughing, barking and screeching on the campaign trail. This video from Rush Limbaugh is pretty darn funny:Health questions have been raised since Hillary has been having repeated coughing fits. The funny thing is that CNN covered for her by saying she was  choked up  during her speech.HILLARY HAS A COUGHING FIT DURING NEW YORK SPEECH: ","Nov 30, 2015"
"A producer at the Women in the World event had an awkward moment on Thursday night when he was caught in the spotlight while leading Hillary Clinton onto the stage.The backstage producer could be seen with his hand on Clinton s back leading her onto the stage and pointing her in which direction to walk to get to her position.Hillary gingerly walking across the stage to greet Samantha Bee, who introduced her, letting out a hearty cackle while successfully negotiating the riser.Moments later, Clinton conquered a single step like a pro before taking a seat.Ummm Sorry Samantha Bee, but we re not seeing the Beyonc connection.  American Mirror","December 1, 2017 "
VP-ELECT APPEARS FIRST AND THEN AT THE 6 MINUTE MARK DONALD TRUMP S SPEECH BEGINS: ,"December 24, 2017 "
"Liberty University President Jerry Falwell, Jr. was not taking Hillary s lying sitting down. Falwell made comments about how the students should arm themselves against terror attacks like the one in California. Hillary twisted his words int a complete lie. Here s his response:  I ll tell you what s deplorable. Hillary s a liar. That s not what I said. I went on to say  those Muslims  referring specifically to those part of my comments to the community center incident in California.  ","May 27, 2015"
 I d like to suggest that there is no such thing as the left or right. There s only an up or down.  ,"October 4, 2017 "
A Princeton professor gives viewers of FOX News a shocking demonstration that proves how easily voter fraud is committed with electronic voter machines.Watch here:,"July 26, 2017 "
" The protesters win by scaring people into silence which is known in the law as  the heckler s veto.  when the hecklers scream so loudly, or in this case advertised their intention to scream that the speaker can t speak. When this happens on property owned by the government  a prima fascia case has been made  I m afraid we are in danger of losing free speech.    JUDGE NAPOLITANOThis is what happened when pro-Trump supporters held a peaceful rally in Berkeley:THE BIRTHPLACE OF FREE SPEECH IS NOW OFFICIALLY A PLACE OF OPPRESSION Berkeley students came together to shut down the free speech rights of gay, conservative activist Milo Yiannopoulis in February. Students violently attacked fellow students who tried to attend Milo s scheduled speech, random fires were lit, windows were broken and rocks were thrown. Using violence, threats and intimidation to shut down opposing views is not only un-American it should be illegal. But we re not talking about just any college or city in America, we re talking about UC Berkeley, the former home of free-speech UC Berkeley has now banned conservative commentator and author Ann Coulter, citing security threats.According to Young America s Foundation, student organizers of an upcoming Ann Coulter event at the university were emailed by Berkeley administrators who claimed they were unable to  find a safe suitable venue  for Coulter. UC-Berkeley, a publicly-funded university, first imposed a series of ridiculous requirements on the speech allegedly in the name of  safety.  Coulter, we were informed, would be required to deliver her speech in the afternoon; only students would be allowed to attend; and the speech location would not be announced until close to the event,  they continued.  Against our advice, Coulter agreed to all these requirements. In return, she requested two measures, which actually had something to do with safety. This is as clear-cut a case as it gets that public universities are using taxpayer dollars to shut down conservative speech, while allowing liberal speech only,  Young America s Foundation proclaimed.  UC-Berkeley has for example, welcomed the corrupt former President of Mexico, Vicente Fox, who has cursed at and mocked Donald Trump, currently the President of the United States. The university, and U-C chancellor Janet Napolitano personally, have revealed themselves to be using taxpayer money for an unconstitutional purpose. Even after Coulter went along with their ruses and guises to shut down her speech, they simply announced, like Kim Jung Un, that it was cancelled. We have no intention of acceding to these unconstitutional acts,  the organization concluded.  The Ann Coulter lecture sponsored by Young America s Foundation will go forward. Ron Robinson, the President of Young America s Foundation, further declared in a quote that  Berkeley disappoints anyone who really believes in free speech. Their actions to ban conservatives while giving leftists a platform reinforces this fact,  Robinson claimed.  It s a shame that Berkeley is robbing its students of the opportunity to receive a well-rounded education.   Breitbart ","October 19, 2017 "
Taya Kyle speaks to Obama regarding the illogical strategy of his new gun control measures: ,"May 8, 2017"
,"September 26, 2017 "
"The inspiration behind the  Black Lives Matter  movement   the individual cited by its founder and regularly quoted by its supporters   is a convicted cop killer who is on the FBI s  Most Wanted Terrorists  list.In an article which details the philosophical foundation of  Black Lives Matter , BLM co-founder Garza cites,  Assata s powerful demand in my organizing work. Assata is a reference to Assata Shakur, otherwise known as Joanne Deborah Chesimard, a radical feminist and Marxist revolutionary who escaped from prison in 1979 while serving a life sentence for the murder of New Jersey State Trooper Werner Foerster.On the night of May 2, 1973, Shakur, along with two other accomplices, killed Foerster execution-style at point-blank range during a routine traffic stop on the New Jersey Turnpike in East Brunswick.For Shakur, the shooting was the culmination of years of militant radicalism during which she joined and left the Black Panther Party because it was not violent enough, before subsequently joining the Black Liberation Army, a domestic terror outfit responsible for bombings and assassinations throughout the 1970 s which claimed the lives of 13 police officers.  InfowarsShe escaped from prison in 1979 and fled to Cuba, where she was granted political asylum, and she s been there ever since.President Trump on Friday demanded that Cuba return notorious New Jersey cop killer Joanne Chesimard to the United States to face justice.During a speech in Miami to announce changes in U.S. policy toward Cuba, Trump said the return of Chesimard and other fugitives was one of several steps the Cuban government needed to take before the longstanding embargo could be lifted. To the Cuban government, I say, put an end to the abuse of dissidents, release the political prisoners, stop jailing innocent people, open yourselves to political and economic freedoms, return the fugitives from American justice, including the return of the cop killer Joanne Chesimard,  aka Assata Shakur Trump said.Following the passing of brutal dictator Fidel Castro, BLM wrote a love note of sorts on Medium, expressing their gratitude for harboring their hero, cop-killer Assata Shakur: A final lesson is that to be a revolutionary, you must strive to live in integrity. As a Black network committed to transformation, we are particularly grateful to Fidel for holding Mama Assata Shakur, who continues to inspire us. We are thankful that he provided a home for Brother Michael Finney Ralph Goodwin, and Charles Hill, asylum to Brother Huey P. Newton, and sanctuary for so many other Black revolutionaries who were being persecuted by the American government during the Black Power era.","September 22, 2017 "
"Republican National Committee (RNC) Chairman Reince Priebus reacted to FBI Director James Comey s letter on Sunday informing Congress the agency will not change its previous decision to not recommend criminal charges against Hillary Clinton in the e-mail probe.Priebus released the following statement reminding voters the FBI continues to investigate the Clinton Foundation: The FBI s findings from its criminal investigation of Hillary Clinton s secret email server were a damning and unprecedented indictment of her judgment. The FBI found evidence Clinton broke the law, that she placed highly classified national security information at risk and repeatedly lied to the American people about her reckless conduct. None of this changes the fact that the FBI continues to investigate the Clinton Foundation for corruption involving her tenure as secretary of state. Hillary Clinton should never be president. Last week, Fox News cited two sources with intimate knowledge of the FBI s investigations as saying the agency s probes into the Clinton Foundation continue to be a  very high priority  among local agents on the ground.Fox News further reported:Agents have interviewed and re-interviewed multiple people on the foundation case, which is looking into possible pay for play interaction between then-Secretary of State Hillary Clinton and the Clinton Foundation. The FBI s White Collar Crime Division is handling the investigation.There is a split, however, between local investigators and FBI headquarters, as well as with the Justice Department.Here is the full text of Comey s letter on Sunday informing lawmakers of the FBI s decision to not alter the agency s conclusion reached last July that it will not recommend charges against Clinton in the email case:I write to supplement my October 28, 2016 letter that notified you the FBI would be taking additional investigative steps with respect to former Secretary of State Clinton s use of a personal email server.Since my letter, the FBI investigative team has been working around the clock to process and review a large volume of emails from a device obtained in connection with an unrelated criminal investigation.During that process, we reviewed all of the communications that were to or from Hillary Clinton while she was Secretary of State.Based on our review, we have not changed our conclusions that we expressed in July with respect to Secretary Clinton.I am very grateful to the professionals at the FBI for doing an extraordinary amount of high-quality work in a short period of time.  Breitbart News","Dec 30, 2016"
"Another untold story of a random act of kindness by President Donald J. Trump Iranian-American Pastor Saeed Abedini is brimming with gratitude for one U.S. presidential aspirant: Donald Trump.In a surprising revelation, Abedini said Trump helped provide for the needs of his family in Boise, Idaho while he was locked up in an Iranian prison for his faith. The pastor said Trump gave his family $10,000 while he was imprisoned for three and a half years. I am finally free in a free country. Last year on the same day I was sick and in chains for Christ, and now I can vote to choose my next president,  Abedini said in a post on his Facebook page on Sunday. And most amazingly, I can vote for someone that I know fought for me and called my name so many times. He met my family and gave them a $10,000 gift. I think his ideas are more biblical than the other candidates,  he added.In contrast, Abedini said Democratic presidential nominee Hillary Clinton did not do or say anything to help secure his release from Iranian prison. The pastor said Clinton never spoke his name or met his family. As a woman who says she stands for women s rights when she was foreign minister, she never contacted my mom, wife, sister or my daughter. She never did anything to help when I was in prison as an American pastor who was detained in Iran as a hostage,  he wrote.Abedini strongly defended Trump from attacks on his character, saying God used flawed men to lead nations in the Old Testament, likening him to King Cyrus of Persia, a figure mentioned more than 30 times in the Bible. According to Bible experts, Cyrus was a great pagan king who ruled Persia from 539 to 530 B.C. Under his rule, Jews were first allowed to return to Israel after 70 years of captivity. In the past few months, we have seen how media is attacking Donald Trump s past. I have even heard so many people said he is not a Christian. Of course, only God knows this for sure, but what I see is God is using him and anointed him. It seems to me that he is the Cyrus of our modern day, but like you and me, he is a flawed man, in the process of spiritual growth,  Abedini said.The pastor pointed out that those who are condemning Trump for his past are forgetting that America is also a nation  saved by grace. When we hear that this candidate or that candidate is not a strong Christian or has a past that disqualifies him to be the President of the United States, my answer is that we are a nation, a people who are also sinners, saved by grace,  he wrote.Last week, Abedini said he already cast an early vote for Trump in the 2016 presidential election.From Abedini s Facebook page:","October 28, 2016 "
